اسم النشاط,الربع,العام,نوع النشاط,الفئة المستهدفة,عدد المتخرجين,Column1
معسكر سدايا T5 علوم البيانات والذكاء الاصطناعي,الأول,2024,معسكر,المختصون,169,
معسكر تعلم الآله ML,الأول,2024,معسكر,المختصون,259,
معسكر النماذج اللغوية الكبيرة LLM,الأول,2024,معسكر,المختصون,215,
معسكر إدارة البيانات,الأول,2024,معسكر,المختصون,53,
معسكر حوكمة البيانات,الأول,2024,معسكر,المختصون,59,
برنامج مبرمجي ذكاء المستقبل,الأول,2024,برنامج,المبتدئون,6911,
معسكر سدايا T5 علوم البيانات والذكاء الاصطناعي,الثاني,2024,معسكر,المختصون,233,
معسكر تعلم الآله ML,الثاني,2024,معسكر,المختصون,59,
معسكر النماذج اللغوية الكبيرة LLM,الثاني,2024,معسكر,المختصون,47,
معسكر إدارة البيانات,الثاني,2024,معسكر,المختصون,53,
معسكر حوكمة البيانات,الثاني,2024,معسكر,المختصون,45,
برنامج سدايا المستقبل GDP,الثاني,2024,برنامج,المختصون,77,
برنامج أكادمية الذكاء الاصطناعي التوليدي (NVIDIA),الثاني,2024,برنامج,المختصون,25,
معسكر النماذج اللغوية الكبيرة LLM (معمل أكاديمية سدايا في جامعة الباحة),الثاني,2024,معسكر,المختصون,22,
برنامج القادة,الثاني,2024,برنامج,المختصون,84,
معسكر تدريب المطورين,الثالث,2024,معسكر,المختصون,29,
برنامج التدريب الصيفي لطلاب أذكى,الثالث,2024,برنامج,المبتدئون,11,
برنامج OSP المقدم من جامعة أكسفورد,الثالث,2024,برنامج,المبتدئون,9,
البرنامج التدريبي الاحترافي LLM,الثالث,2024,برنامج,المختصون,46,
معسكر الذكاء الاصطناعي T5 حلول الزحام,الرابع,2024,معسكر,المختصون,193,
برنامج المسارات المتقدمة في الذكاء الاصطناعي مسار - Machine Learning,الرابع,2024,برنامج,المختصون,128,
برنامج المسارات المتقدمة في الذكاء الاصطناعي مسار - Generative Al,الرابع,2024,برنامج,المختصون,100,
برنامج المسارات المتقدمة في الذكاء الاصطناعي مسار - Deep Learning,الرابع,2024,برنامج,المختصون,85,
برنامج المسارات المتقدمة في الذكاء الاصطناعي مسار - Natural Languages Processing,الرابع,2024,برنامج,المختصون,55,
برنامج تدريب طلاب مسك,الرابع,2024,برنامج,المبتدئون,17,
برنامج بناء تطبيقات الذكاء الاصطناعي,الرابع,2024,برنامج,المختصون,33,
مبرمجي ذكاء المستقبل,الرابع,2024,برنامج,المبتدئون,3551,
"تمكين القطاع الصحي في البيانات والذكاء الاصطناعي
  مسار - مقدمة في البيانات لمتخصصي الرعاية الصحية - الرياض- الدمام- جدة",الاول,2025,برنامج,مبتدئ,207,
"تمكين القطاع الصحي في البيانات والذكاء الاصطناعي
  مسار - مقدمة في البيانات لأطباء الرعاية الصحية - الرياض-جدة -الدمام",الاول,2025,برنامج,مبتدئ,200,
تعلم الآلة باستخدام لغة البايثون لمتخصصي الرعاية الصحية - الرياض - جدة- الدمام,الاول,2025,برنامج,مبتدئ,68,
"تمكين القطاع الصحي في البيانات والذكاء الاصطناعي
 مسار - ادارة البيانات للمدراء التنفيذيين في مجال الرعاية الصحية - الرياض",الاول,2025,برنامج,مبتدئ,30,
بناء تطبيقات الذكاء الاصطناعي بلغة البايثون,الاول,2025,معسكر,مبتدئ,42,
هندسة البيانات,الاول,2025,معسكر,مختص,24,
"إدارة البيانات و حوكمتها و حماية البيانات الشخصية 
 مسار - محترف إدارة البيانات المعتمد CDMP",الاول,2025,برنامج,مختص,20,
"إدارة البيانات و حوكمتها و حماية البيانات الشخصية 
 مسار - مدير خصوصية البيانات المعتمد - CIPM",الاول,2025,برنامج,مختص,20,
التدريب الاحترافي في الذكاء الاصطناعي التوليدي -الرياض -الظهران-عن بعد,الاول,2025,برنامج,خبير وعالم,72,
التدريب الاحترافي في الذكاء الاصطناعي التوليدي -مسار مهندسي الذكاء الاصطناعي,الاول,2025,برنامج,مختص,24,
مستقبل الإعلام,الاول,2025,معسكر,مبتدئ,30,
المدن الذكية,الاول,2025,معسكر,مختص,20,
الذكاء الاصطناعي التوليدي وهندسة الأوامر مع الوكلاء,الاول,2025,ورشة عمل,مبتدئ,130,
تطوير مشاركات مسابقة تخيل الجامعة,الاول,2025,ورشة عمل,مبتدئ,89,
محترف إدارة البيانات المعتمد CDMP,الثاني,2025,برنامج,مختص,213,
مدير خصوصية المعلومات المعتمد CIPM,الثاني,2025,برنامج,مختص,113,
تصنيف البيانات,الثاني,2025,برنامج,مختص,52,
جودة وحوكمة البيانات - DQ-DG,الثاني,2025,برنامج,مختص,57,
برنامج الذكاء الاصطناعي لرفع الإنتاجية,الثاني,2025,برنامج,مختص,36,
الذكاء الاصطناعي التوليدي من هندسة الأوامر إلى الوكلاء - فعالية شهم,الثاني,2025,برنامج,مبتدئ,35,
إدارة البيانات و حوكمتها و حماية البيانات الشخصية - مسار تقني خصوصية المعلومات المعتمد CIPT,الثاني,2025,برنامج,مختص,21,
برنامج التدريب الاحترافي في الذكاء الاصطناعي التوليدي,الثاني,2025,برنامج,مختص,62,
معسكر هاكاثون التحول,الثاني,2025,ورشة عمل,مختص,250,
حالات استخدام الذكاء الاصطناعي في الرياضة,الثاني,2025,ندوة,مختص,40,
ورشة بناء حلول الاستاد الذكي,الثاني,2025,ندوة,مختص,30,
الذكاء الاصطناعي في ريادة الأعمال,الثاني,2025,ندوة,مبتدئ,400,
توظيف الذكاء الاصطناعي لتطوير التعليم,الثاني,2025,ندوة,مبتدئ,100,
ندوة حول الذكاء الاصطناعي وتطبيقاته,الثاني,2025,ندوة,مبتدئ,25,
مبادرة مليون سعودي في الذكاء الاصطناعي - سماي,الثاني,2025,مبادرة,مبتدئ,49098,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار - محترف إدارة البيانات المعتمد CDMP,الثالث,2025,ورشة عمل,مختص,235,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار - تقني خصوصية المعلومات المعتمد CIPT,الثالث,2025,ورشة عمل,مختص,43,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار - جودة وحوكمة البيانات DG-DQ,الثالث,2025,ورشة عمل,مختص,55,
برنامج الذكاء الاصطناعي لرفع الإنتاجية,الثالث,2025,ورشة عمل,مبتدئ,141,
برنامج تصنيف البيانات,الثالث,2025,ورشة عمل,مختص,169,
برنامج الذكاء الاصطناعي من هندسة الأوامر إلى الوكلاء,الثالث,2025,ورشة عمل,مبتدئ,137,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار – البيانات الوصفية و جودة البيانات MD-DQ,الثالث,2025,ورشة عمل,مختص,61,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار - البيانات الوصفية و نمذجة و تصميم البيانات MD&DMD,الثالث,2025,ورشة عمل,مختص,65,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار – البيانات الوصفية و إدارة البيانات المرجعية و الرئيسية MD&RMD,الثالث,2025,ورشة عمل,مختص,21,
برنامج إدارة البيانات وحوكمتها,الثالث,2025,برنامج,مبتدئ,118,
برنامج إدارة البيانات المرجعية و الرئيسية أساسيات تكامل و توافق البيانات RMD-DII,الثالث,2025,ورشة عمل,مختص,116,
DWBI-DII برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية – مسار مستودعات البيانات و ذكاء الأعمال وأساسيات تكامل وتوافق البيانات,الثالث,2025,ورشة عمل,مختص,74,
DWBI-DQ برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية – مسار جودة البيانات وأهميتها ومستودعات البيانات وذكاء الأعمال,الثالث,2025,ورشة عمل,مختص,19,
برنامج بناء وكلاء الذكاء الاصطناعي بالشراكة بين سدايا و grog,الثالث,2025,معسكر,مختص,20,
برنامج إدارة البيانات وحوكمتها وحماية البيانات الشخصية مسار -نمذجة وتصميم البيانات و اساسيات تكامل و توافق البيانات DMD-DII,الثالث,2025,ورشة عمل,مختص,21,
مقدمة في الذكاء الاصطناعي التوليدي وتطبيقاته,الثالث,2025,ورشة عمل,مبتدئ,402,
,,,,,,
