السنة المالية,اسم البند,الاعتماد الأصلي (ريال),الاعتماد بعد التعديل (ريال),المنصرف (ريال),نسبة الصرف
2021,تعويضات العاملين,655020000,1036576458,"883,616,142.41",85%
2021,السلع والخدمات,243580000,241668992,"166,471,063.27",69%
2021,البرامج,381450000,521658360,"461,976,864.71",89%
2021,المشاريع,2526950000,1294382472,"1,049,985,147.31",81%
2021,الإجمالي,3807000000,3094286282,"2,562,049,217.70",83%
2022,تعويضات العاملين,1266860000,1306323203,"1,271,106,085.13",97%
2022,السلع والخدمات,223890000,998566221,"991,993,978.75",99%
2022,البرامج,468911000,788598616,"731,349,525.71",93%
2022,المشاريع,1526911144,799289113,"736,897,556.90",92%
2022,الإجمالي,3486572144,3892777153,"3,731,347,146.49",96%
2023,تعويضات العاملين,1217609910,1467145690,"1,457,824,911.37",99%
2023,السلع والخدمات,204880000,215918228,"203,437,844.95",94%
2023,البرامج,745882000,1116916996,"1,109,411,962.74",99%
2023,المشاريع,1318628090,1592606449,"1,590,720,142.29",100%
2023,الإجمالي,3487000000,4392587363,"4,361,394,861.35",99%
2024,تعويضات العاملين,1505353151,1722840681,-,-
2024,السلع والخدمات,193945373,753375147,-,-
2024,البرامج,721120228,906184076,-,-
2024,المشاريع,1271251914,1972167576,-,-
2024,الإجمالي,3691670666,5354567480,-,-
2025,تعويضات العاملين,1680500000,1680500000,-,-
2025,السلع والخدمات,144370000,144970000,-,-
2025,البرامج,695255344,836434952,-,-
2025,المشاريع,822548791,1926180192,-,-
2025,الإجمالي,3342674135,4588085144,-,-
